item_id,phase_number,phase_name,action_item,parent_item_id,status,completed,notes
62,3,Deal Sourcing & Underwriting Skill-Building,Learn to source off-market opportunities,,Not Started,false,
63,3,Deal Sourcing & Underwriting Skill-Building,Decide if you're open to fixer-uppers,,Not Started,false,
64,3,Deal Sourcing & Underwriting Skill-Building,Decide if you're open to land + new-build,,Not Started,false,
65,3,Deal Sourcing & Underwriting Skill-Building,Decide if you're targeting turnkey only,,Not Started,false,
66,3,Deal Sourcing & Underwriting Skill-Building,Decide if you're targeting a unique/statement-stay niche vs. standard rental,,Not Started,false,
67,4,Property Underwriting & Risk Analysis,Project revenue (occupancy × ADR × seasonality) per candidate,,Not Started,false,
68,4,Property Underwriting & Risk Analysis,Underwrite occupancy assumptions explicitly,,Not Started,false,
69,4,Property Underwriting & Risk Analysis,Underwrite ADR assumptions explicitly,,Not Started,false,
70,4,Property Underwriting & Risk Analysis,Underwrite seasonality assumptions explicitly,,Not Started,false,
71,4,Property Underwriting & Risk Analysis,Underwrite utility costs,,Not Started,false,
72,4,Property Underwriting & Risk Analysis,"Underwrite internet/connectivity — verify actual availability and speed, not just ""listed""",,Not Started,false,
73,4,Property Underwriting & Risk Analysis,Underwrite insurance costs,,Not Started,false,
74,4,Property Underwriting & Risk Analysis,Underwrite cleaning costs,,Not Started,false,
75,4,Property Underwriting & Risk Analysis,Underwrite maintenance costs,,Not Started,false,
76,4,Property Underwriting & Risk Analysis,Underwrite landscaping costs,,Not Started,false,
77,4,Property Underwriting & Risk Analysis,Underwrite pest control costs,,Not Started,false,
78,4,Property Underwriting & Risk Analysis,Underwrite property and occupancy taxes,,Not Started,false,
79,4,Property Underwriting & Risk Analysis,Underwrite licensing/permit fees,,Not Started,false,
80,4,Property Underwriting & Risk Analysis,Underwrite a capex reserve,,Not Started,false,
81,4,Property Underwriting & Risk Analysis,Underwrite management costs (even if self-managing),,Not Started,false,
82,4,Property Underwriting & Risk Analysis,Build explicit downside scenarios:,,Not Started,false,
82a,4,Property Underwriting & Risk Analysis,Recession scenario,82,Not Started,false,
82b,4,Property Underwriting & Risk Analysis,Regulatory ban/restriction scenario,82,Not Started,false,
82c,4,Property Underwriting & Risk Analysis,Occupancy decline scenario,82,Not Started,false,
82d,4,Property Underwriting & Risk Analysis,Rate compression scenario,82,Not Started,false,
82e,4,Property Underwriting & Risk Analysis,Maintenance disaster scenario,82,Not Started,false,
83,4,Property Underwriting & Risk Analysis,Set minimum return thresholds before you're emotionally attached to a property,,Not Started,false,
84,5,Financing & Acquisition,Build relationships with multiple lenders,,Not Started,false,
85,5,Financing & Acquisition,"Compare financing products (DSCR, 2nd-home conventional, investment loan)",,Not Started,false,
86,5,Financing & Acquisition,Get pre-approved,,Not Started,false,
87,5,Financing & Acquisition,Decide down payment structure and funding source,,Not Started,false,
88,5,Financing & Acquisition,Submit offers,,Not Started,false,
89,5,Financing & Acquisition,"Negotiate price, terms, and seller concessions",,Not Started,false,
90,5,Financing & Acquisition,Conduct inspections,,Not Started,false,
91,5,Financing & Acquisition,"Review inspection reports, renegotiate if needed",,Not Started,false,
92,5,Financing & Acquisition,Review title,,Not Started,false,
93,5,Financing & Acquisition,Obtain insurance before close,,Not Started,false,
94,5,Financing & Acquisition,Finalize financing,,Not Started,false,
95,5,Financing & Acquisition,Close on the property,,Not Started,false,
96,5,Financing & Acquisition,Set up utility transfers,,Not Started,false,
97,5,Financing & Acquisition,Get a survey if boundaries are unclear,,Not Started,false,
98,6,Design & Positioning,Define your guest avatar,,Not Started,false,
99,6,Design & Positioning,Define a property theme/concept,,Not Started,false,
100,6,Design & Positioning,Translate concept into a design direction,,Not Started,false,
101,6,Design & Positioning,Build a furnishing budget,,Not Started,false,
102,6,Design & Positioning,Build a shopping/sourcing list,,Not Started,false,
103,6,Design & Positioning,Source furniture (rated for turnover durability),,Not Started,false,
104,6,Design & Positioning,Source décor,,Not Started,false,
105,6,Design & Positioning,Source linens,,Not Started,false,
106,6,Design & Positioning,Source kitchen supplies,,Not Started,false,
107,6,Design & Positioning,Source electronics,,Not Started,false,
108,6,Design & Positioning,"Source security systems, locks, cameras",,Not Started,false,
109,6,Design & Positioning,"Source smart-home devices (thermostat, noise monitor, water sensors)",,Not Started,false,
110,7,Setup & Safety Installation,Assemble furniture,,Not Started,false,
111,7,Setup & Safety Installation,Install smart lock(s),,Not Started,false,
112,7,Setup & Safety Installation,Install exterior cameras (with disclosure),,Not Started,false,
113,7,Setup & Safety Installation,Install/verify wifi,,Not Started,false,
114,7,Setup & Safety Installation,Install TV/entertainment systems,,Not Started,false,
115,7,Setup & Safety Installation,Install smoke detectors,,Not Started,false,
116,7,Setup & Safety Installation,Install CO detectors,,Not Started,false,
117,7,Setup & Safety Installation,Install fire extinguishers,,Not Started,false,
118,7,Setup & Safety Installation,Complete a full safety walkthrough before listing,,Not Started,false,
119,8,"Permits, Licensing & Compliance",Apply for the STR business license/permit,,Not Started,false,
120,8,"Permits, Licensing & Compliance",Register for lodging/occupancy tax collection,,Not Started,false,
121,8,"Permits, Licensing & Compliance","Confirm parking, occupancy, and noise ordinance rules",,Not Started,false,
122,8,"Permits, Licensing & Compliance",Confirm septic capacity limits on legal occupancy,,Not Started,false,
123,8,"Permits, Licensing & Compliance",Confirm well-water testing/certification requirements,,Not Started,false,
124,8,"Permits, Licensing & Compliance",Set reminders for permit renewal deadlines,,Not Started,false,
125,8,"Permits, Licensing & Compliance",Build a recurring check for regulatory changes,,Not Started,false,
126,9,Technology & Operating Systems,Choose a PMS/channel manager,,Not Started,false,
127,9,Technology & Operating Systems,Create Airbnb account,,Not Started,false,
128,9,Technology & Operating Systems,Create Vrbo/Booking.com accounts,,Not Started,false,
129,9,Technology & Operating Systems,Decide a direct-booking strategy/website,,Not Started,false,
130,9,Technology & Operating Systems,"Set up dynamic pricing software (e.g., PriceLabs)",,Not Started,false,
131,9,Technology & Operating Systems,Set up automated guest messaging,,Not Started,false,
132,9,Technology & Operating Systems,Build a digital guest guidebook,,Not Started,false,
133,9,Technology & Operating Systems,Sync booking calendar to cleaning/vendor calendar,,Not Started,false,
134,10,Operations SOPs,Write cleaning SOPs,,Not Started,false,
135,10,Operations SOPs,Write maintenance SOPs,,Not Started,false,
136,10,Operations SOPs,Write inspection SOPs,,Not Started,false,
137,10,Operations SOPs,Write emergency SOPs,,Not Started,false,
138,10,Operations SOPs,Write guest communication SOPs,,Not Started,false,
139,10,Operations SOPs,Write vendor management SOPs,,Not Started,false,
140,10,Operations SOPs,Write turnover procedures,,Not Started,false,
141,10,Operations SOPs,Write inventory management procedures,,Not Started,false,
142,10,Operations SOPs,Write a damage-claim procedure,,Not Started,false,
143,10,Operations SOPs,Write a refund/cancellation policy,,Not Started,false,
144,11,Vendor & Local Team Network,Find and vet a cleaning company,,Not Started,false,
145,11,Vendor & Local Team Network,Line up a backup cleaner,,Not Started,false,
146,11,Vendor & Local Team Network,Line up a true emergency/same-day cleaner,,Not Started,false,
147,11,Vendor & Local Team Network,Find a general handyman,,Not Started,false,
148,11,Vendor & Local Team Network,Line up a backup handyman,,Not Started,false,
149,11,Vendor & Local Team Network,Find a plumber,,Not Started,false,
150,11,Vendor & Local Team Network,Find an electrician,,Not Started,false,
151,11,Vendor & Local Team Network,Find an HVAC technician,,Not Started,false,
152,11,Vendor & Local Team Network,Find an appliance repair technician,,Not Started,false,
153,11,Vendor & Local Team Network,Find a pest control company,,Not Started,false,
154,11,Vendor & Local Team Network,Find a landscaper,,Not Started,false,
155,11,Vendor & Local Team Network,Find a snow removal vendor (if applicable),,Not Started,false,
156,11,Vendor & Local Team Network,Find a pool vendor (if applicable),,Not Started,false,
157,11,Vendor & Local Team Network,Find a hot tub vendor (if applicable),,Not Started,false,
158,11,Vendor & Local Team Network,Find a photographer,,Not Started,false,
159,11,Vendor & Local Team Network,Find a local property manager/co-host as backup coverage,,Not Started,false,
160,11,Vendor & Local Team Network,Build an emergency contact list before you need it,,Not Started,false,
161,11,Vendor & Local Team Network,Get vendor scope and rates in writing,,Not Started,false,
162,12,Listing Creation & Launch,Create photography shot list,,Not Started,false,
163,12,Listing Creation & Launch,Complete the photoshoot,,Not Started,false,
164,12,Listing Creation & Launch,Select a cover photo,,Not Started,false,
165,12,Listing Creation & Launch,Write the listing title,,Not Started,false,
166,12,Listing Creation & Launch,Write the listing description,,Not Started,false,
167,12,Listing Creation & Launch,Build the amenity list,,Not Started,false,
168,12,Listing Creation & Launch,Finalize house rules,,Not Started,false,
169,12,Listing Creation & Launch,Publish the listing,,Not Started,false,
170,12,Listing Creation & Launch,Optimize the listing post-publish,,Not Started,false,
171,12,Listing Creation & Launch,Manage and over-deliver on your first guest,,Not Started,false,
172,12,Listing Creation & Launch,Get your first booking,,Not Started,false,
173,12,Listing Creation & Launch,Get your first review,,Not Started,false,
174,12,Listing Creation & Launch,Get to five reviews,,Not Started,false,
175,12,Listing Creation & Launch,Work toward Superhost/Guest Favorite status,,Not Started,false,
176,12,Listing Creation & Launch,Refine pricing based on early data,,Not Started,false,
177,12,Listing Creation & Launch,Refine messaging templates based on real guest questions,,Not Started,false,
178,13,Revenue & Pricing Management,Establish minimum-stay rules by season,,Not Started,false,
179,13,Revenue & Pricing Management,Establish cancellation policy,,Not Started,false,
180,13,Revenue & Pricing Management,Build seasonal/peak pricing,,Not Started,false,
181,13,Revenue & Pricing Management,Build holiday pricing,,Not Started,false,
182,13,Revenue & Pricing Management,Build last-minute discount rules,,Not Started,false,
183,13,Revenue & Pricing Management,Build gap-night pricing,,Not Started,false,
184,13,Revenue & Pricing Management,Monitor competitor pricing ongoing,,Not Started,false,
185,14,Ongoing Remote Management,Monitor occupancy,,Not Started,false,
186,14,Ongoing Remote Management,Monitor ADR,,Not Started,false,
187,14,Ongoing Remote Management,Monitor total revenue,,Not Started,false,
188,14,Ongoing Remote Management,Monitor expenses against budget,,Not Started,false,
189,14,Ongoing Remote Management,Monitor review scores,,Not Started,false,
190,14,Ongoing Remote Management,Monitor response times,,Not Started,false,
191,14,Ongoing Remote Management,Monitor vendor performance,,Not Started,false,
192,14,Ongoing Remote Management,Monitor maintenance issues proactively,,Not Started,false,
193,14,Ongoing Remote Management,Monitor inventory/consumables,,Not Started,false,
194,15,Financial Management & Compliance,Monthly bookkeeping,,Not Started,false,
195,15,Financial Management & Compliance,Monthly revenue reconciliation,,Not Started,false,
196,15,Financial Management & Compliance,Ongoing tax planning,,Not Started,false,
197,15,Financial Management & Compliance,Occupancy tax compliance/filing,,Not Started,false,
198,15,Financial Management & Compliance,Annual reporting,,Not Started,false,
199,15,Financial Management & Compliance,Cash reserve management,,Not Started,false,
200,15,Financial Management & Compliance,Debt management,,Not Started,false,
201,15,Financial Management & Compliance,Distribution management between partners,,Not Started,false,
202,16,Risk Management & Continuity,Plan a wildfire/natural-disaster evacuation and guest-notification protocol,,Not Started,false,
203,16,Risk Management & Continuity,Build a winterization protocol (if seasonal),,Not Started,false,
204,16,Risk Management & Continuity,"Build an ""I can't get there in time"" contingency plan",,Not Started,false,
205,16,Risk Management & Continuity,Review and renew insurance annually,,Not Started,false,
206,17,Scaling,Build a formal acquisition funnel,,Not Started,false,
207,17,Scaling,Standardize underwriting process and templates,,Not Started,false,
208,17,Scaling,Standardize furnishing approach and vendor list,,Not Started,false,
209,17,Scaling,Standardize vendor onboarding,,Not Started,false,
210,17,Scaling,Standardize launch process,,Not Started,false,
211,17,Scaling,Standardize partner/owner reporting,,Not Started,false,
212,17,Scaling,Build formal acquisition criteria,,Not Started,false,
213,17,Scaling,Build a market-expansion framework,,Not Started,false,
214,17,Scaling,Build a hiring framework,,Not Started,false,
215,17,Scaling,Acquire property #2,,Not Started,false,
216,17,Scaling,Acquire property #3,,Not Started,false,
217,17,Scaling,Acquire property #4,,Not Started,false,
218,17,Scaling,Continue scaling per your Phase 0 portfolio goal,,Not Started,false,
